NTF_Links,Price
https://lh3.googleusercontent.com/eGDAEu_4eeUKm-w7eXbmIcYGGtfUwUgyAJ95tcZqYJQ4PaHIarVRWR5zONhdWyjYtv3BlKLYNgKfDq6v6mo5bZ5w5aPtC893gKft=w600,($29.16)
https://lh3.googleusercontent.com/FbQEvhSgVttigzR0RyiRYvzxsZZ5_3DaGQv6mnKiGY5AykGmdpEd3IY9GPPwn8yyzZKbOU0EOZH2RSZ8cRuuaijgK_UMxgLaDHDTXQ=w600,($194.43)
https://lh3.googleusercontent.com/Ym4R06pKLTiiOc1hyXZ1D1ZSBFIRv5e2gTyrtMDhZ3jO5Rb3IkpHWW8SU7O9Ygt02MWlseIAKWJH5jNFXACJJwKAteIzoApoA0UY5tY=w600,($162.03)
https://lh3.googleusercontent.com/5IAyL1j1NJQ-btFd4H-Ug4En_1BKyzjNiY3rqrV1OpABaTID_s_sWhMYJ8-BZyjnOn1KrtEs-is57d-XRZCtz4s_u00OZMQit2pKxw=w600,"($2,616.08)"
https://lh3.googleusercontent.com/WStIpg3ZPt8eu5IzXsu2mJ8ViKK0_ytAYG74DxUrgXlI3jue2i9gJFm8MyXSSH3ML2dc93oCZxNPzca5YDjzWlOCwD1X6wIrx98uWA=w600,($97.22)
https://lh3.googleusercontent.com/McstpU1BpXSDPGsO0bjRzL4gfLaNdUvu4nN-gUoTvKd3AQcHdpinaIVcE9Kue4n2WTSwHpw2MP6Ae-ebY6lMxICfytfjzz66JbqNCg=w600,"($1,944.32)"
https://lh3.googleusercontent.com/sbiV7B0Vxd6nOptqltEanxx--tRHVtJJup0kUIRxGydZQ2TSKchn0cWNt85ciP9PdfhTETMiVljKUKHXLjADexFlpViCV28o2TSi=w600,($259.24)
https://lh3.googleusercontent.com/Si48gvpSbYYmDyTrcX98GMVIy0aBQ-YEL4Nz2tQ6HytbxQIfeQ1xesL_d9NjB000uTFG7y8fC-k3OrXlubJ-WbApTiPqkRO53ZDKUw=w600,($34.03)
https://lh3.googleusercontent.com/n3KgRAeiRr-kSb-Gw0bNSkAiseNLF4lKkfAGPnjKoIvfCB2CxCrWk7d8c_wkhqMQkzxs-coQomKV2z21_TqaEvWmnPCpj1jtG8Eitg=w600,($259.24)
https://lh3.googleusercontent.com/x5yEBpHMiTuNKrJWRTdcmJNe3PUHXNCc7f5ej_3L339G8JOBG3rrbdm4KcRfXvxaMRIMMuVT-VSyJ7PfflH6awsJBuUqvjFegCe3k_M=w600,"($2,981.29)"
